NCTId,BriefTitle,Phase,SponsorName,success_rate,phase_historical_success_rate,cumulative_approval_probability,simulated_success_rate,median_approval_year,mean_approval_year,pct10_approval_year,pct90_approval_year,earliest_approval_year,latest_approval_year,japan_median_approval_year,japan_mean_approval_year,japan_pct10_approval_year,japan_pct90_approval_year,japan_earliest_approval_year,japan_latest_approval_year,japan_median_delay_years
NCT04945772,Efficacy and Safety of MCO-010 Optogenetic Therapy in Adults With Retinitis Pigmentosa [RESTORE],PHASE2,Nanoscope Therapeutics Inc.,0.49842000000000003,0.78,0.49842000000000003,0.5006,2027.0,2026.949061126648,2027.0,2027.0,2026,2027,2029.0,2028.786456252497,2028.0,2030.0,2028,2030,2.1281345084947616
NCT06388200,A Phase 3 Study Of OCU400 Gene Therapy for the Treatment Of Retinitis Pigmentosa,PHASE3,Ocugen,0.639,0.639,0.639,0.6372,2027.0,2027.0,2027.0,2027.0,2027,2027,2032.0,2032.2347771500313,2031.0,2033.0,2030,2034,4.9984569752291765
NCT05203939,Study to Assess the Safety and Efficacy of OCU400 for Retinitis Pigmentosa and Leber Congenital Amaurosis,"PHASE1, PHASE2",Ocugen,0.423657,0.85,0.423657,0.4337,2027.0,2027.0,2027.0,2027.0,2027,2027,2032.0,2032.2418722619323,2031.0,2033.0,2030,2034,4.999278099638518
NCT04794101,Follow-up Gene Therapy Trial for the Treatment of X-linked Retinitis Pigmentosa Associated With Variants in the RPGR Gene,PHASE3,"Janssen Research & Development, LLC",0.5,0.639,0.5,0.5037,2028.0,2027.668651975382,2027.0,2028.0,2027,2028,2033.0,2032.5691880087354,2031.0,2034.0,2031,2035,4.9809114239500385
NCT06646289,A Follow-on Study for Second-Eye Treatment for Participants Previously Treated With Gene Therapy for X-Linked Retinitis Pigmentosa (XLRP),PHASE2,"Janssen Research & Development, LLC",0.5,0.78,0.5,0.5032,2028.0,2027.664546899841,2027.0,2028.0,2027,2028,2033.0,2032.5745230524642,2031.0,2034.0,2030,2035,5.000310597517582
NCT05926583,A Study of AAV5-hRKp.RPGR for the Treatment of Japanese Participants With X-linked Retinitis Pigmentosa,PHASE3,Janssen Pharmaceutical K.K.,0.5,0.639,0.5,0.5062,2028.0,2027.6621888581587,2027.0,2028.0,2027,2028,2033.0,2032.56282101936,2031.0,2034.0,2030,2035,4.989200802216119
NCT00999609,Safety and Efficacy Study in Subjects With Leber Congenital Amaurosis,PHASE3,"Spark Therapeutics, Inc.",0.71,0.71,0.71,0.7163,2030.0,2030.1098701661315,2029.0,2031.0,2028,2032,2035.0,2035.1051235515845,2034.0,2036.0,2032,2038,4.988334766030265
NCT06275620,A Study Comparing Two Doses of AGTC-501 in Male Participants With X-linked Retinitis Pigmentosa Caused by RPGR Mutations (DAWN),PHASE2,Beacon Therapeutics,0.49842000000000003,0.78,0.49842000000000003,0.5047,2030.0,2029.9744402615415,2030.0,2030.0,2029,2031,2035.0,2034.9443233604122,2034.0,2036.0,2032,2037,4.985310464909578
NCT07174726,A Phase 2 Open-label Study to Evaluate the Safety of Laruparetigene Zovaparvovec Administered Bilaterally in Male Participants With X-Linked Retinitis Pigmentosa,PHASE2,Beacon Therapeutics,0.49842000000000003,0.78,0.49842000000000003,0.5049,2030.0,2029.9742523271934,2030.0,2030.0,2029,2031,2035.0,2034.9322638146168,2034.0,2036.0,2033,2037,4.990690205401924
NCT06333249,A Study Comparing Two Doses of AGTC-501 in Male Subjects With X-linked Retinitis Pigmentosa Caused by RPGR Mutations (SKYLINE),PHASE2,Beacon Therapeutics,0.49842000000000003,0.78,0.49842000000000003,0.4954,2030.0,2029.9709325797335,2030.0,2030.0,2029,2031,2035.0,2034.9378280177634,2034.0,2036.0,2032,2037,4.994707458187183
NCT04850118,A Clinical Trial Evaluating the Safety and Efficacy of a Single Subretinal Injection of AGTC-501 in Participants With XLRP,"PHASE2, PHASE3",Beacon Therapeutics,0.49842000000000003,0.78,0.49842000000000003,0.5049,2030.0,2029.9693008516538,2030.0,2030.0,2029,2031,2035.0,2034.9298871063577,2034.0,2036.0,2033,2037,4.994341211539151
NCT03584165,Long-term Safety and Efficacy Follow-up of BIIB111 for the Treatment of Choroideremia and BIIB112 for the Treatment of X-Linked Retinitis Pigmentosa,PHASE3,"NightstaRx Ltd, a Biogen Company",0.71,0.71,0.71,0.7145,2033.0,2033.0506648005598,2032.0,2034.0,2031,2035,2038.0,2038.0677396780966,2037.0,2040.0,2034,2041,5.016140285482451
NCT07082855,"A Multicenter, Randomized, Double-Blind, Controlled Clinical Study of Minocycline for the Treatment of Retinitis Pigmentosa",PHASE3,"Zhongshan Ophthalmic Center, Sun Yat-sen University",0.71,0.71,0.71,0.7031,2033.0,2033.0587398663063,2032.0,2034.0,2030,2035,2038.0,2038.0654245484284,2037.0,2040.0,2034,2042,5.00656395652664
